Amazon_Product_Name,Flipkart_Product_Name,Amazon_Color,Flipkart_Color,Product_Name_Similarity,Brand_Similarity,Color_Similarity
"IFB 20 L Convection Microwave Oven (20BC5, Black)","IFB 20 L Convection Microwave Oven  (20BC4, Black)",Black,Black,0.93,1,1
"IFB 20 L Convection Microwave Oven (20BC5, Black)","IFB 28 L Convection Microwave Oven  (28BC5, Black)",Black,Black,0.77,1,1
"IFB 20 L Convection Microwave Oven (20BC5, Black)","IFB 25 L Convection Microwave Oven  (25BC3, Black)",Black,Black,0.77,1,1
"IFB 20 L Convection Microwave Oven (20BC5, Black)","IFB 25 L Solo Microwave Oven  (25PM2S, BLACK, SILVER)",Black,"Silver, Black",0.53,1,0.71
"IFB 20 L Convection Microwave Oven (20BC5, Black)","IFB 25 L Convection Microwave Oven  (25BC3, Black)",Black,Black,0.77,1,1
"IFB 20 L Convection Microwave Oven (20BC5, Black)","IFB 25 L Convection Microwave Oven  (25BC4, Black)",Black,"Black, Grey",0.71,1,0.71
"IFB 20 L Convection Microwave Oven (20BC5, Black)","IFB 30 L Convection & Grill Microwave Oven  (30BRC3, BLACK)",Black,Black,0.71,1,1
"IFB 20 L Convection Microwave Oven (20BC5, Black)","IFB 23 L Convection Microwave Oven  (23BC5, Black)",Black,Black,0.71,1,1
"IFB 20 L Convection Microwave Oven (20BC5, Black)","IFB 20 L Convection Microwave Oven  (20BC4 With Touch Key Pad 1200 Watt, Black)",Black,Black,0.76,1,1
"IFB 20 L Convection Microwave Oven (20SC2, Metallic Silver, With Starter Kit), STANDARD","IFB 23 L Convection Microwave Oven  (23SC3, Silver)",Silver,Silver,0.59,1,1
"IFB 20 L Convection Microwave Oven (20SC2, Metallic Silver, With Starter Kit), STANDARD","IFB 20 L Grill Microwave Oven  (20PG4S, Metallic Silver)",Silver,Silver,0.61,1,1
"IFB 20 L Convection Microwave Oven (20SC2, Metallic Silver, With Starter Kit), STANDARD","IFB 25 L Metallic silver Convection Microwave Oven  (25SC4, Metallic Silver)",Silver,Silver,0.62,1,1
"IFB 20 L Convection Microwave Oven (20SC2, Metallic Silver, With Starter Kit), STANDARD","IFB 20 L Metallic silver Convection Microwave Oven  (20SC2, Silver)",Silver,Silver,0.78,1,1
"IFB 20 L Convection Microwave Oven (20SC2, Metallic Silver, With Starter Kit), STANDARD","IFB 30 L Metallic silver Convection Microwave Oven  (30SC4, Metallic Silver)",Silver,Silver,0.62,1,1
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 30 L Convection Microwave Oven  (30BRC2, Black)",Black,Black,0.53,1,1
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 20 L Convection Microwave Oven  (20BC5, Black)",Black,Black,0.67,1,1
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 20 L Solo Microwave Oven  (20PM-MEC2B, BLACK)",Black,Black,0.72,1,1
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 23 L Convection Microwave Oven  (23BC4, Black)",Black,Black,0.53,1,1
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 30 L Convection Microwave Oven  (MICRO WAVE OVEN 30FRC2, Black)",Black,Black,0.56,1,1
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 20 L Convection Microwave Oven  (20BC4, Black)",Black,Black,0.72,1,1
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 28 L Convection Microwave Oven  (28BC5, Black)",Black,Black,0.58,1,1
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 25 L Convection Microwave Oven  (25BC3, Black)",Black,Black,0.58,1,1
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 25 L Solo Microwave Oven  (25PM2S, BLACK, SILVER)",Black,"Silver, Black",0.62,1,0.71
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 25 L Convection Microwave Oven  (25BC3, Black)",Black,Black,0.58,1,1
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 25 L Convection Microwave Oven  (25BC4, Black)",Black,"Black, Grey",0.53,1,0.71
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 30 L Convection & Grill Microwave Oven  (30BRC3, BLACK)",Black,Black,0.67,1,1
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 23 L Convection Microwave Oven  (23BC5, Black)",Black,Black,0.53,1,1
"IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)","IFB 20 L Convection Microwave Oven  (20BC4 With Touch Key Pad 1200 Watt, Black)",Black,Black,0.59,1,1
